LANE,From Lat,From Lng,To Lat,To Lng,Colr,Total_trl,O_BUS,D_BUS
TX18-TX03,29.917263,-95.440719,33.033405,-97.067657,blue,31,HDS,HDS
GA02-293,33.615196,-84.367485,34.722553,-82.421455,blue,241,HDS,HDP
GA07-NJ22,34.000743,-84.466529,40.069759,-74.841842,blue,46,HDS,HDS
IL032-MO42,41.959896,-87.978233,39.160469,-94.572759,blue,1,HDS,HDS
FL14-FL29,28.087665,-81.978485,30.410509,-81.809082,blue,6,HDS,HDS
OH36-MI40,39.841404,-82.900108,42.36924,-83.372088,blue,2,HDS,HDS
FL14-FL16,28.094544,-81.915505,27.919533,-82.390169,blue,1,HDS,HDS
41,37.587258,-122.021574,38.48895,-121.398843,blue,3,-,HDP
TX18-LA46,29.917263,-95.440719,29.950559,-90.206336,blue,4,HDS,HDS
236-41,37.587258,-122.021574,38.484096,-121.398887,blue,3,HDP,HDP
41,37.587258,-122.021574,38.484096,-121.398887,blue,3,-,HDP
299-TX27,29.873047,-95.592651,29.552114,-98.271845,blue,1,HDP,HDS
IL30-238,41.917253,-87.895619,38.972975,-94.712233,blue,1,HDS,HDP
299-299,29.85724,-95.574241,29.582399,-98.291816,blue,6,HDP,HDP
AZ17-AZ17,33.412799,-112.275299,33.43975,-112.191062,blue,42,HDS,HDS
236-41,37.385639,-121.885276,38.484096,-121.398887,blue,356,HDP,HDP
TX03-AR012,33.033405,-97.067657,34.780918,-92.152076,red,76,HDS,HDS
OH36-MI40,39.845401,-82.880302,42.364082,-83.369796,blue,275,HDS,HDS
TX03-TX18,33.033405,-97.067657,29.917263,-95.440719,blue,357,HDS,HDS
NJ22-PA032,40.069759,-74.841842,40.338058,-76.803779,red,115,HDS,HDS
225-MO15,36.011329,-86.565902,38.768566,-90.465774,blue,123,HDP,HDS
290-290,28.400943,-81.35765,28.54704,-81.182609,blue,11,HDP,HDP
CA20-NV39,34.015399,-117.858222,36.230201,-115.075798,blue,231,HDS,HDS
IL032-246,41.959896,-87.978233,38.991481,-94.710418,blue,66,HDS,HDP
126-125,40.78722,-89.629661,41.572978,-90.603347,blue,114,HDP,HDP
208-GA02,30.330867,-81.813865,33.615196,-84.367485,blue,117,HDP,HDS
WA09-WA040,47.390701,-122.262603,31.1221,-99.3413,blue,60,HDS,HDP
IL30-233,41.924175,-87.889274,38.991481,-94.710418,blue,236,HDS,HDP
TX18-TX35,29.920061,-95.441138,30.271129,-97.7437,blue,3,HDS,HDS
FL14-FL19,28.094544,-81.915505,25.987869,-80.174769,blue,19,HDS,HDS
198-NV39,34.015399,-117.858222,36.230201,-115.075798,blue,7,HDP,HDS
CA20-NV39,34.015399,-117.858222,,,blue,2,HDS,HDS
198-CA01,34.078558,-117.270205,32.794941,-117.073708,blue,1,HDP,HDS
FL14-FL19,28.039465,-81.949804,25.987869,-80.174769,blue,2,HDS,HDS
208-154,26.278227,-80.116367,26.278227,-80.116367,blue,5,HDP,HDP
233-206,40.14563,-74.861728,38.885302,-76.915898,red,1,HDP,HDP
TX03-301,33.033405,-97.067657,34.780918,-92.152076,blue,4,HDS,HDP
299-TX27,29.76444,-95.50962,29.582399,-98.291816,blue,6,HDP,HDS
AZ17-AZ097,33.43975,-112.191062,32.173591,-110.966209,red,144,HDS,HDS
236-CA342,37.385639,-121.885276,37.783626,-121.230804,red,113,HDP,HDS
CA05-CA259,38.564315,-121.540916,36.667812,-121.656059,red,114,HDS,HDS
299-TX27,29.85724,-95.574241,29.582399,-98.291816,blue,232,HDP,HDS
NJ22-391,40.069759,-74.841842,39.164939,-76.715637,blue,70,HDS,HDP
IL032-238,41.959896,-87.978233,38.991481,-94.710418,blue,66,HDS,HDP
299-299,29.76444,-95.50962,29.85724,-95.574241,blue,77,HDP,HDP
207-IL30,41.873722,-88.014526,41.924175,-87.889274,blue,134,HDP,HDS
FL14-208,28.087665,-81.978485,30.410509,-81.809082,blue,144,HDS,HDP
AL04-MS026,33.154975,-86.717475,32.27172,-90.104942,red,116,HDS,HDS
GA02-AL04,33.615196,-84.367485,33.154975,-86.717475,blue,341,HDS,HDS
GA02-FL19,33.615196,-84.367485,25.988372,-80.212219,blue,119,HDS,HDS
FL14-FL16,28.087665,-81.978485,27.9316,-82.375396,blue,227,HDS,HDS
FL14-FL248,28.087665,-81.978485,30.427053,-84.321746,red,1,HDS,HDS
NJ22-180,40.069759,-74.841842,37.459438,-77.314437,blue,146,HDS,HDP
TX03-TX03,33.033405,-97.067657,35.580776,-97.468864,blue,6,HDS,HDS
TX03-OK28,33.033405,-97.067657,33.033405,-97.067657,blue,6,HDS,HDS
236-41,37.385639,-121.885276,38.48895,-121.398843,blue,3,HDP,HDP
CA20-NV39,34.078558,-117.270205,,,blue,2,HDS,HDS
TX03-AR012,33.033405,-97.067657,32.825599,-97.052871,red,4,HDS,HDS
299-TX189,29.917263,-95.440719,27.776792,-97.429054,red,10,HDP,HDS
CA05-CA20,38.564315,-121.540916,34.015399,-117.858222,blue,33,HDS,HDS
301-TX03,32.825599,-97.052871,33.033405,-97.067657,blue,159,HDP,HDS
IL032-OH36,41.959896,-87.978233,39.845401,-82.880302,blue,118,HDS,HDS
OH36-OH13,39.845401,-82.880302,41.389776,-81.441226,blue,228,HDS,HDS
GA02-GA07,33.615196,-84.367485,34.000743,-84.466529,blue,113,HDS,HDS
OH36-IN41,39.845401,-82.880302,39.741462,-86.105804,blue,227,HDS,HDS
TX03-TX03,32.685398,-96.936599,32.685398,-96.936599,blue,4,HDS,HDS
208-GA02,30.410509,-81.809082,33.615196,-84.367485,blue,6,HDP,HDS
IL30-299,41.917253,-87.895619,38.972975,-94.712233,blue,1,HDS,HDP
IL30-246,41.917253,-87.895619,38.972975,-94.712233,blue,1,HDS,HDP
IL30-206,41.917253,-87.895619,38.972975,-94.712233,blue,1,HDS,HDP
NC34-NC38,35.123394,-80.930247,35.824341,-78.830032,blue,1,HDS,HDS
LA34-TX03,32.466186,-93.765707,33.028385,-97.08672,blue,1,HDS,HDS
TX18-46,29.783937,-95.448304,29.940483,-90.203131,blue,1,HDS,HDP
TX18-TX189,29.76444,-95.50962,27.776792,-97.429054,red,10,HDS,HDS
GA02-TN049,33.610186,-84.381903,35.975902,-83.985725,red,6,HDS,HDS
WA09-OR017,47.390701,-122.262603,44.058265,-123.187866,red,115,HDS,HDS
CA20-CA01,34.015399,-117.858222,32.79425,-117.07022,blue,342,HDS,HDS
IL032-233,41.959896,-87.978233,38.991481,-94.710418,blue,116,HDS,HDP
NJ22-VA10,40.069759,-74.841842,37.717201,-77.576698,blue,72,HDS,HDS
180-14,37.459438,-77.314437,35.286476,-80.879966,blue,24,HDP,HDP
208-154,30.330867,-81.813865,26.2779,-80.147819,blue,118,HDP,HDP
GA02-NC38,33.615196,-84.367485,35.8269,-78.833534,blue,118,HDS,HDS
IL032-MA021A,41.959896,-87.978233,38.991481,-94.710418,blue,66,HDS,HDP
GA07-IL30,34.000743,-84.466529,41.924175,-87.889274,blue,46,HDS,HDS
FL14-FL248,28.087665,-81.978485,30.484031,-84.324081,red,116,HDS,HDS
208-290,30.330867,-81.813865,28.400943,-81.35765,blue,200,HDP,HDP
CA20-238,34.015399,-117.858222,34.021808,-118.151527,blue,54,HDS,HDP
238-198,34.02778,-118.15841,34.078558,-117.270205,blue,1,HDP,HDP
NJ22-180,40.07105,-74.861307,37.588666,-77.513659,blue,7,HDS,HDP
301-TX03,32.825599,-97.052871,35.580776,-97.468864,blue,6,HDP,HDS
154-154,26.278227,-80.116367,26.2779,-80.147819,blue,5,HDP,HDP
206-206,40.14563,-74.861728,38.885302,-76.915898,red,1,HDP,HDP
238-206,40.14563,-74.861728,38.885302,-76.915898,red,1,HDP,HDP
TX18-TX27,29.920061,-95.441138,29.552114,-98.271845,blue,6,HDS,HDS
CA20-NV39,34.078558,-117.270205,36.246985,-115.063193,blue,5,HDS,HDS
CA20-NV39,34.015399,-117.858222,36.246985,-115.063193,blue,5,HDS,HDS
154--,26.278227,-80.116367,26.2779,-80.147819,blue,1,HDP,-
207-126,41.873722,-88.014526,40.78722,-89.629661,blue,5,HDP,HDP
CA01-CA20,32.794941,-117.073708,34.014076,-117.842865,blue,1,HDS,HDS
IL30-MI40,41.924175,-87.889274,42.364082,-83.369796,blue,118,HDS,HDS
AL04-GA02,33.154975,-86.717475,33.615196,-84.367485,blue,82,HDS,HDS
301-OK28,32.825599,-97.052871,35.580776,-97.468864,blue,84,HDP,HDS
TX03-TX03,32.825599,-97.052871,33.033405,-97.067657,blue,6,HDS,HDS
TX03-TX03,32.825599,-97.052871,35.580776,-97.468864,blue,6,HDS,HDS
TX03-OK28,32.685398,-96.936599,32.825599,-97.052871,blue,60,HDS,HDS
TX03-TX18,32.95917,-97.026366,29.783937,-95.448304,blue,1,HDS,HDS
